title,console,date,year,month,day
>Observer_,1,2017-08-15,2017,8,15
THE KING OF FIGHTERS '97 GLOBAL MATCH,0,2018-04-03,2018,4,3
Far Cry New Dawn,1,2019-02-15,2019,2,15
Candle: The Power of the Flame,1,2018-07-25,2018,7,25
Planet of the Eyes,1,2017-09-19,2017,9,19
Dungeon of the Endless,0,2018-04-26,2018,4,26
Saints Row: The Third Remastered,1,2020-05-22,2020,5,22
ACA NEOGEO WAKU WAKU 7,1,2018-03-22,2018,3,22
Battle Chef Brigade Deluxe,0,2017-11-19,2017,11,19
The Ninja Saviors: Return of the Warriors,0,2019-10-15,2019,10,15
Airheart - Tales of broken Wings,1,2018-07-24,2018,7,24
Battlestar Galactica Deadlock,1,2017-12-08,2017,12,8
Northgard,1,2019-09-26,2019,9,26
Football Nation VR 2018,0,2017-11-10,2017,11,10
Dragon Star Varnir,0,2019-06-11,2019,6,11
At Sundown,1,2019-01-22,2019,1,22
The Sims™ 4 Tiny Living,1,2020-02-04,2020,2,4
Batman: The Enemy Within - Episode 3: Fractured Mask,1,2017-11-21,2017,11,21
Paranoia: Happiness is Mandatory,1,2019-10-03,2019,10,3
Azure Reflections,0,2018-05-15,2018,5,15
Tour de France Season 2019,1,2015-06-18,2015,6,18
The Persistence,0,2020-05-21,2020,5,21
Cat Quest II,0,2019-10-24,2019,10,24
The Princess Guide,0,2019-03-26,2019,3,26
"Penn & Teller VR: Frankly Unfair, Unkind, Unnecessary, & Underhanded",0,2019-07-09,2019,7,9
Tropico 6 ,1,2019-09-27,2019,9,27
Nelke & the Legendary Alchemists: Ateliers of the New World,0,2019-01-31,2019,1,31
Riddled Corpses EX,0,2018-06-06,2018,6,6
Transference ,1,2018-09-18,2018,9,18
RICO,1,2021-10-21,2021,10,21
That's You!,0,2017-06-29,2017,6,29
THE SHAPESHIFTING DETECTIVE,0,2018-11-06,2018,11,6
Omen of Sorrow,0,2021-09-15,2021,9,15
Inksplosion,1,2018-05-11,2018,5,11
NBA Live 19 The One Edition,1,2018-09-07,2018,9,7
Track Lab,0,2018-08-21,2018,8,21
HUE,0,2016-08-30,2016,8,30
Trover Saves the Universe,0,2019-05-31,2019,5,31
Songbringer,1,2017-09-05,2017,9,5
America's Greatest Game Shows: Wheel of Fortune & Jeopardy! ,1,2017-11-07,2017,11,7
Nickelodeon Kart Racers,1,2018-10-26,2018,10,26
TO THE TOP,0,2017-05-18,2017,5,18
1001 Spikes,0,2015-11-27,2015,11,27
Enter the Gungeon ,0,2017-04-05,2017,4,5
Fall Guys,0,2020-08-04,2020,8,4
Cobra Kai: The Karate Kid Saga Continues,1,2020-10-27,2020,10,27
Overcooked! 2,1,2019-10-17,2019,10,17
Fire Pro Wrestling World,0,2018-09-28,2018,9,28
Poop Slinger,0,2018-08-06,2018,8,6
Personality and Psychology Premium,0,2018-06-08,2018,6,8
MechaNika,0,2019-11-07,2019,11,7
Professional Farmer: American Dream,1,2020-05-06,2020,5,6
Hello Neighbor: Hide and Seek,1,2018-12-07,2018,12,7
ACA NEOGEO NINJA COMMANDO,1,2018-09-06,2018,9,6
Shadow of the Tomb Raider,1,2018-09-14,2018,9,14
YU-NO: A girl who chants love at the bound of this world.,0,2019-10-04,2019,10,4
Surviving the Aftermath,0,2021-11-16,2021,11,16
Energy Invasion,0,2018-01-10,2018,1,10
Ion Fury,0,2020-05-14,2020,5,14
The Walking Dead: A New Frontier,1,2016-12-20,2016,12,20
TOKYO CHRONOS,0,2019-08-26,2019,8,26
"Warhammer 40,000: Inquisitor - Martyr",1,2018-08-23,2018,8,23
WWE 2K18 Cena (Nuff) Edition,1,2017-10-17,2017,10,17
2MD VR Football,0,2018-05-08,2018,5,8
Yakuza: Kiwami 2,1,2020-07-29,2020,7,29
XIII,1,2012-09-28,2012,9,28
Asemblance: Oversight,1,2018-08-03,2018,8,3
The Golf Club 2019 Featuring the PGA Tour,1,2018-08-28,2018,8,28
INDIGO PROPHECY,0,2016-08-10,2016,8,10
Black Clover: Quartet Knights,0,2018-09-14,2018,9,14
Mutant Football League,0,2019-04-18,2019,4,18
Arcade Archives HAUNTED CASTLE,0,2016-12-01,2016,12,1
Persona 4: Dancing All Night,0,2018-12-04,2018,12,4
ACA NEOGEO CROSSED SWORDS,1,2018-08-23,2018,8,23
World of Warships Legends ,0,2019-08-12,2019,8,12
DOG GONE GOLFING,0,2018-08-14,2018,8,14
Azur Lane: Crosswave,0,2020-02-21,2020,2,21
Assassin's Creed Valhalla,1,2020-11-10,2020,11,10
Defiance 2050,0,2018-07-10,2018,7,10
Cooking Mama: Cookstar,0,2020-04-28,2020,4,28
The Sims™ 4 Realm of Magic,1,2019-10-15,2019,10,15
The Binding of Isaac: Afterbirth+,0,2017-06-30,2017,6,30
BLACKHOLE: Complete Edition,0,2017-08-08,2017,8,8
GALAK-Z,0,2017-02-23,2017,2,23
Maria The Witch,1,2018-10-09,2018,10,9
Lunar Stone: Origin of Blood,0,2016-11-18,2016,11,18
WWE 2K Battlegrounds,1,2020-09-18,2020,9,18
For Honor: Marching Fire Edition,1,2018-12-31,2018,12,31
NBA 2K19,1,2018-09-11,2018,9,11
Worse Than Death,0,2019-10-08,2019,10,8
SPARC,0,2017-08-29,2017,8,29
Children of Zodiarcs,0,2020-03-27,2020,3,27
Hitman: Game of the Year Edition,1,2017-11-07,2017,11,7
GUNGRAVE VR U.N,0,2018-12-11,2018,12,11
Xenon Valkyrie+,1,2018-02-20,2018,2,20
DiRT Rally 2.0,1,2019-02-26,2019,2,26
Voltron VR Chronicles,0,2017-09-26,2017,9,26
InnerSpace,1,2018-01-16,2018,1,16
World of Tanks,1,2010-08-12,2010,8,12
theHunter: Call of the Wild - 2019 Edition,1,2018-10-16,2018,10,16
Brigandine: The Legend of Runersia,0,2020-12-10,2020,12,10
R.B.I. Baseball 2018,1,1988-01-01,1988,1,1
Operation Warcade,0,2018-03-15,2018,3,15
ACA NEOGEO BURNING FIGHT,1,2017-09-28,2017,9,28
MX vs ATV All Out,1,2018-03-27,2018,3,27
911 Operator,1,2017-11-28,2017,11,28
Super Comboman: Smash Edition,0,2017-08-22,2017,8,22
DISSIDIA FINAL FANTASY NT,0,2019-03-12,2019,3,12
Bravo Team,0,2018-03-07,2018,3,7
Pathfinder: Kingmaker - Definitive Edition ,1,2020-08-18,2020,8,18
Don't Knock Twice,1,2017-09-05,2017,9,5
Monster Boy and the Cursed Kingdom,1,2018-12-04,2018,12,4
One More Dungeon,0,2018-08-01,2018,8,1
The Bridge,0,2013-02-22,2013,2,22
Home,0,2012-08-31,2012,8,31
River City Melee: Battle Royal Special,0,2017-04-28,2017,4,28
DIRT 5,1,2020-11-06,2020,11,6
PLAYERUNKNOWN'S BATTLEGROUNDS,0,2020-10-29,2020,10,29
DARK ECLIPSE,0,2018-09-25,2018,9,25
Home Run Derby VR,0,2018-04-26,2018,4,26
Hell Warders,0,2018-11-29,2018,11,29
Wandersong,0,2019-12-06,2019,12,6
Paper Beast,0,2020-03-24,2020,3,24
Iris.Fall,1,2021-01-07,2021,1,7
EA SPORTS™ MADDEN NFL 21 ÉDITION NXT LVL,1,2020-08-25,2020,8,25
Ultimate Chicken Horse,1,2017-12-15,2017,12,15
Immortal Redneck,1,2018-02-27,2018,2,27
Farming Simulator 19,1,2020-12-28,2020,12,28
ASSAULT GUNNERS HD EDITION,0,2018-03-20,2018,3,20
Whispering Willows,0,2015-08-28,2015,8,28
Bloodstained: Curse of the Moon,0,2018-06-06,2018,6,6
LA-MULANA 1 & 2,1,2012-07-12,2012,7,12
Truck Racing Championship,1,2019-07-18,2019,7,18
Skyworld,0,2019-03-26,2019,3,26
Zero Escape: Zero Time Dilemma,0,2017-12-31,2017,12,31
Kentucky Route Zero: TV Edition,1,2020-01-28,2020,1,28
SIMULACRA,0,2019-12-03,2019,12,3
Beholder 2,0,2020-04-09,2020,4,9
Lichtspeer: Double Speer Edition,0,2018-06-01,2018,6,1
Legendary Eleven,1,2021-06-30,2021,6,30
Jamestown+,0,2015-03-18,2015,3,18
World of Warships Legends: Firepower Deluxe Edition,1,2019-04-16,2019,4,16
Frane: Dragons' Odyssey,0,2019-04-05,2019,4,5
Game Tengoku CruisinMix,0,2017-11-30,2017,11,30
Fist of the North Star: Lost Paradise,0,2018-10-02,2018,10,2
de Blob,1,2018-02-27,2018,2,27
Night Trap - 25th Anniversary Edition,0,2017-08-15,2017,8,15
Damascus Gear: Operation Tokyo,0,2013-12-25,2013,12,25
Hunt: Showdown,1,2019-09-20,2019,9,20
Spiral Splatter,1,2018-03-13,2018,3,13
Risk of Rain,1,2019-08-30,2019,8,30
Rym 9000,0,2019-02-19,2019,2,19
Virry VR: Wild Encounters,0,2018-04-24,2018,4,24
Our World is Ended,0,2019-05-02,2019,5,2
Mercenaries Wings: The False Phoenix,0,2018-10-10,2018,10,10
The Sojourn,1,2019-09-20,2019,9,20
Greedfall,1,2019-09-10,2019,9,10
The Bard's Tale IV: Director's Cut,1,2019-08-27,2019,8,27
RiftStar Raiders,1,2018-02-28,2018,2,28
Monster Energy Supercross - The Official Videogame 2,1,2019-02-08,2019,2,8
Fast & Furious: Crossroads,1,2020-08-05,2020,8,5
Tom Clancy's The Division 2 ,1,2019-03-15,2019,3,15
Crossing Souls,0,2018-02-13,2018,2,13
Run Dorothy Run,0,2018-02-20,2018,2,20
Insane Robots,0,2018-07-10,2018,7,10
Afterparty,0,2019-10-29,2019,10,29
Marble Duel,0,2021-01-20,2021,1,20
Slayaway Camp: Butcher´s cut,0,2017-11-01,2017,11,1
Stranger Things 3: The Game,0,2019-07-04,2019,7,4
Les Sims™ 4 Escapade enneigée ,1,2014-09-02,2014,9,2
ACA NEOGEO SHOCK TROOPERS,1,2018-01-25,2018,1,25
SWORD ART ONLINE: FATAL BULLET,1,2018-02-18,2018,2,18
Art of Fighting Anthology ,0,2017-08-30,2017,8,30
Super Street: The Game,1,2018-09-11,2018,9,11
Kabounce,0,2018-05-29,2018,5,29
Runestone Keeper,0,2018-04-25,2018,4,25
FAIRY TAIL,0,2020-07-30,2020,7,30
Suicide Guy,0,2018-02-22,2018,2,22
Digimon Story: Cyber Sleuth - Hacker's Memory,0,2018-03-31,2018,3,31
Pixel Ripped 1989,0,2018-07-31,2018,7,31
R.B.I. Baseball '20,1,2020-03-17,2020,3,17
Overpass,1,2020-03-17,2020,3,17
1971 Project Helios,0,2020-06-09,2020,6,9
THE KING OF FIGHTERS 2000,0,2016-05-03,2016,5,3
ACA NEOGEO STREET HOOP,1,2017-11-09,2017,11,9
The Shapeshifting Detective,0,2018-11-06,2018,11,6
The Council - Episode 1 - The Mad Ones,1,2018-03-13,2018,3,13
BUTCHER,0,2017-05-10,2017,5,10
Madden NFL 19,1,2018-08-10,2018,8,10
Cyberpunk 2077,1,2020-12-10,2020,12,10
Everybody's Golf VR,0,2019-05-21,2019,5,21
Mortal Shell,1,2020-08-18,2020,8,18
Happy Drummer,0,2017-12-21,2017,12,21
Domino Craft VR,0,2016-12-21,2016,12,21
Streets of Rage 4,1,2020-06-25,2020,6,25
Runbow,0,2018-07-03,2018,7,3
Minecraft,0,2009-05-10,2009,5,10
Red Faction Guerrilla Re-Mars-tered,1,2018-07-03,2018,7,3
Tooth and Tail,0,2017-09-12,2017,9,12
Streets of Rogue,1,2019-07-12,2019,7,12
MINIT,0,2018-04-03,2018,4,3
Friday the 13th: The Game ,1,2017-05-26,2017,5,26
I Hate Running Backwards,1,2018-05-22,2018,5,22
Grab the Bottle,1,2016-12-19,2016,12,19
Hero Must Die. again,0,2020-02-26,2020,2,26
Phantom Doctrine,1,2018-08-14,2018,8,14
Devil May Cry 5,1,2019-03-08,2019,3,8
Forager,0,2019-07-31,2019,7,31
Antiquia Lost,0,2019-06-19,2019,6,19
LA-MULANA 1 & 2 Hidden Treasures Edition,1,2012-07-12,2012,7,12
MudRunner: A Spintires Game,1,2017-10-31,2017,10,31
Lapis x Labyrinth,0,2019-05-28,2019,5,28
BALAN WONDERWORLD,1,2021-03-26,2021,3,26
Dragon's Crown Pro,0,2018-05-15,2018,5,15
ACA NEOGEO POWER SPIKES II,1,2018-01-18,2018,1,18
Werewolf: The Apocalypse - Earthblood,1,2021-02-04,2021,2,4
Destiny 2: Beyond Light,1,2020-11-10,2020,11,10
Heroland,0,2020-01-31,2020,1,31
EVERSPACE™ Galactic Edition,0,2018-05-29,2018,5,29
Morphite,1,2017-09-20,2017,9,20
MY UNIVERSE - FASHION BOUTIQUE,0,2020-10-27,2020,10,27
SINNER: Sacrifice for Redemption,0,2018-10-18,2018,10,18
Road Redemption,0,2018-12-19,2018,12,19
Premium Pool Arena,1,2018-02-20,2018,2,20
Race Arcade,0,2017-08-04,2017,8,4
Danganronpa V3: Killing Harmony,0,2017-09-29,2017,9,29
Asterix & Obelix XXL 3 – The Crystal Menhir,1,2019-11-21,2019,11,21
"Guns, Gore and Cannoli 2",0,2018-08-09,2018,8,9
Scott Pilgrim vs. the World: The Game - Complete Edition,1,2021-01-14,2021,1,14
Watch Dogs Complete Edition,1,2015-08-26,2015,8,26
The Adventure Pals,1,2018-04-03,2018,4,3
Mutant Football League ,1,2019-04-18,2019,4,18
The Sims™ 4 Eco Lifestyle,1,2020-06-05,2020,6,5
Dreams,0,2020-02-14,2020,2,14
Bonds of the Skies,0,2019-06-26,2019,6,26
NARUTO TO BORUTO: SHINOBI STRIKER,1,2018-08-30,2018,8,30
Ashes Cricket,1,2017-11-16,2017,11,16
Ranch Planet,0,2018-06-15,2018,6,15
Splasher,1,2017-09-26,2017,9,26
MotoGP™18,1,2018-06-07,2018,6,7
Sniper Elite V2 Remastered,1,2019-05-14,2019,5,14
Sackboy: A Big Adventure,0,2020-11-19,2020,11,19
Tacoma,0,2017-08-02,2017,8,2
Street Fighter V: Champion Edition,0,2020-02-14,2020,2,14
Earth Atlantis,1,2018-06-01,2018,6,1
HIVE: Altenum Wars,0,2018-05-01,2018,5,1
Where are my friends?,1,2018-03-21,2018,3,21
Beholder Complete Edition,0,2018-02-02,2018,2,2
Killing Floor: Incursion,0,2018-05-01,2018,5,1
ACA NEOGEO METAL SLUG 4,1,2018-08-09,2018,8,9
Toto Temple Deluxe,0,2015-09-30,2015,9,30
Rocket Arena Mythic Edition,1,2020-07-14,2020,7,14
Oh...Sir! The Hollywood Roast!,1,2018-06-01,2018,6,1
Sakuna: Of Rice and Ruin,0,2020-11-12,2020,11,12
"Ys: Memories of Celceta ""Timeless Adventurer Edition""",0,2012-09-27,2012,9,27
Sparklite,1,2019-11-14,2019,11,14
PAW Patrol Mighty Pups Save Adventure Bay,1,2020-11-06,2020,11,6
The Path of Motus,0,2018-07-17,2018,7,17
My Universe - Cooking Star Restaurant,0,2020-11-10,2020,11,10
The Fisherman - Fishing Planet,1,2019-10-15,2019,10,15
Steven Universe: Save the Light,1,2017-12-19,2017,12,19
Salary Man Escape VR,0,2018-06-26,2018,6,26
NBA 2K18,1,2017-09-15,2017,9,15
Ninjin: Clash of Carrots,1,2018-09-04,2018,9,4
For The King,1,2018-04-19,2018,4,19
EarthNight,0,2019-12-03,2019,12,3
My Time at Portia,1,2019-04-16,2019,4,16
S.O.N,0,2019-03-28,2019,3,28
ACA NEOGEO BASEBALL STARS 2,0,2019-03-21,2019,3,21
The TakeOver,0,2021-05-20,2021,5,20
Destiny 2,1,2017-09-06,2017,9,6
Game Tengoku CruisinMix Special,0,2020-05-28,2020,5,28
Radial-G: Racing Revolved,0,2016-12-31,2016,12,31
Sakura Wars,0,2020-05-12,2020,5,12
Brawlout,0,2018-08-21,2018,8,21
The Wardrobe,0,2018-07-31,2018,7,31
Samurai Shodown,1,1993-07-07,1993,7,7
NHL 20,1,2019-09-13,2019,9,13
Outriders,1,2021-04-01,2021,4,1
The Crew 2,1,2018-06-29,2018,6,29
Little Nightmares II,1,2021-02-11,2021,2,11
Cluster Tumble,0,2018-04-30,2018,4,30
Hammerwatch,1,2017-12-20,2017,12,20
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,1,2020-03-24,2020,3,24
Persian Nights: Sands of Wonders,1,2018-08-17,2018,8,17
Hotline Miami 2: Wrong Number ,0,2015-03-10,2015,3,10
ACA NEOGEO SAMURAI SHODOWN IV,1,2018-04-19,2018,4,19
Fortnite: Darkfire Bundle,1,2017-09-26,2017,9,26
Sea of Solitude,1,2019-07-05,2019,7,5
Hello Neighbor,1,2018-07-27,2018,7,27
AER - Memories of Old,1,2017-10-25,2017,10,25
Guts and Glory,1,2017-02-15,2017,2,15
Mitch: Berry Challenge,0,2017-12-31,2017,12,31
Pop-Up Pilgrims,0,2018-02-13,2018,2,13
Onimusha: Warlords,1,2019-01-15,2019,1,15
Illusion of L'Phalcia,0,2019-07-03,2019,7,3
Future Unfolding,0,2017-05-16,2017,5,16
SnowRunner,1,2020-04-28,2020,4,28
Songbird Symphony,0,2019-07-25,2019,7,25
Hover,0,2015-04-06,2015,4,6
Shadows: Awakening,1,2018-09-04,2018,9,4
Desperados III,1,2020-06-16,2020,6,16
AI: The Somnium Files,0,2021-09-30,2021,9,30
Honor and Duty: D-Day,0,2019-02-26,2019,2,26
SHINY,0,2016-08-31,2016,8,31
Island Flight Simulator,0,2015-04-17,2015,4,17
Golden Force,1,2021-05-27,2021,5,27
Jak & Daxter The Precursor Legacy,0,2012-02-29,2012,2,29
OF MICE AND SAND -REVISED-,0,2018-04-03,2018,4,3
Baldur's Gate Enhanced Edition,1,2019-10-15,2019,10,15
Bridge Constructor Portal,1,2018-03-01,2018,3,1
Squareboy vs Bullies: Arena Edition,0,2017-12-06,2017,12,6
The Walking Dead: Season Two,1,2013-12-18,2013,12,18
Agony,1,2018-05-29,2018,5,29
Apex Legends - Lifeline Edition,1,2019-12-03,2019,12,3
Duck Game,0,2017-08-22,2017,8,22
Conan Exiles,1,2018-05-08,2018,5,8
Harvest Moon: One World,0,2021-09-28,2021,9,28
Song Of Memories,0,2019-02-01,2019,2,1
F1 2018,1,2018-08-24,2018,8,24
Castaway Paradise,1,2018-07-31,2018,7,31
RollerCoaster Tycoon Joyride,0,2018-12-13,2018,12,13
RIDE 3,1,2018-11-30,2018,11,30
Organ Trail Complete Edition,0,2015-10-20,2015,10,20
NASCAR Heat 3,1,2018-09-07,2018,9,7
"Sakuna: Of Rice and Ruin ""Divine Edition""",0,2020-11-10,2020,11,10
The Angry Birds Movie 2 VR: Under Pressure,0,2019-08-06,2019,8,6
8-Bit Hordes,1,2019-02-01,2019,2,1
Scribblenauts Showdown,1,2018-03-09,2018,3,9
18 Floors,0,2018-07-03,2018,7,3
Strange Brigade,1,2018-08-28,2018,8,28
Spike Volleyball,1,2019-02-05,2019,2,5
Hellblade: Senua's Sacrifice,0,2018-04-10,2018,4,10
Marenian Tavern Story: Patty and the Hungry God,0,2020-08-19,2020,8,19
Marvel's Spider-Man: Miles Morales,0,2020-11-12,2020,11,12
Let Them Come,1,2017-10-03,2017,10,3
Minecraft: Story Mode - Season Two - Episode 5: Above and Beyond,0,2017-12-19,2017,12,19
TOUHOU SKY ARENA MATSURI CLIMAX,0,2016-05-20,2016,5,20
AUDIOBEATS,0,2017-01-05,2017,1,5
The Walking Dead: The Final Season - Suffer The Children,1,2018-09-25,2018,9,25
What Remains of Edith Finch,0,2017-07-19,2017,7,19
Timespinner,0,2019-06-04,2019,6,4
Planescape Torment / Icewind Dale Enhanced Editions,1,2019-10-15,2019,10,15
Monstrum,1,2021-02-12,2021,2,12
Dungeons 3,1,2017-10-12,2017,10,12
Stikbold!,0,2016-04-08,2016,4,8
Days Gone,0,2019-04-26,2019,4,26
Thimbleweed Park,0,2017-08-22,2017,8,22
1979 Revolution: Black Friday,1,2018-08-03,2018,8,3
DRAGON BALL Z: KAKAROT,1,2020-01-17,2020,1,17
Destiny: Le Roi Des Corrompus,1,2017-02-23,2017,2,23
Dragooned,0,2011-07-06,2011,7,6
The Sims™ 4 Deluxe Party Pack,1,2014-09-02,2014,9,2
Defender's Quest: Valley of the Forgotten ,0,2012-01-20,2012,1,20
Always Sometimes Monsters,0,2014-05-20,2014,5,20
Generation Zero,1,2019-03-26,2019,3,26
HITMAN 3,1,2021-01-20,2021,1,20
DEAD OR ALIVE 6,1,2019-03-01,2019,3,1
The House in Fata Morgana,0,2019-06-11,2019,6,11
NBA Live 18,1,2017-09-15,2017,9,15
Real Farm,1,2017-10-20,2017,10,20
Rival Megagun,0,2018-11-29,2018,11,29
Paranormal Activity: The Lost Soul,0,2017-08-15,2017,8,15
Expand,0,2017-10-03,2017,10,3
ACA NEOGEO AGGRESSORS OF DARK KOMBAT,1,2018-09-13,2018,9,13
HomeStarVR for PlayStationVR,0,2018-05-01,2018,5,1
Fallen Legion: Flames of Rebellion,0,2017-12-12,2017,12,12
Dragon Quest XI: Echoes of an Elusive Age ,0,2018-09-04,2018,9,4
Life is Strange 2: Episode 1,1,2018-09-27,2018,9,27
Pix the Cat,0,2014-10-07,2014,10,7
Pillars of Eternity II Deadfire Ultimate Edition,1,2020-01-28,2020,1,28
Wolfenstein II: The New Colossus,1,2017-11-23,2017,11,23
Bomber Crew: Complete Edition,0,2017-10-19,2017,10,19
Red Faction,0,2017-08-28,2017,8,28
ACA NEOGEO BASEBALL STARS PROFESSIONAL,1,2018-05-17,2018,5,17
Sword & Fairy 6,0,2019-04-02,2019,4,2
ATV Drift & Tricks,1,2017-11-14,2017,11,14
VA-11 HALL-A: Cyberpunk Bartender Action,0,2019-05-02,2019,5,2
void tRrLM(); //Void Terrarium,0,2020-07-14,2020,7,14
Siralim 3,0,2019-03-29,2019,3,29
RollerCoaster Legends II: Thor's Hammer,0,2018-06-05,2018,6,5
Hyper Sentinel,1,2018-05-11,2018,5,11
Apex Legends - Octane Edition,1,2020-02-18,2020,2,18
"Slice, Dice & Rice",0,2018-02-14,2018,2,14
EVEREST VR,0,2016-08-02,2016,8,2
Call of Duty®: Black Ops 4,1,2010-11-09,2010,11,9
Costume Quest 2,0,2014-10-29,2014,10,29
Truck Driver,1,2013-10-01,2013,10,1
PGA TOUR 2K21,1,2020-08-21,2020,8,21
The Long Dark,1,2017-08-01,2017,8,1
Blaster Master Zero,0,2021-07-29,2021,7,29
NORTH,1,2016-04-27,2016,4,27
The Dark Pictures Anthology: Man of Medan,1,2019-08-30,2019,8,30
Remnant: From the Ashes,1,2019-08-20,2019,8,20
Accounting+,0,2016-10-18,2016,10,18
Sky Force Reloaded,0,2017-11-28,2017,11,28
Power Rangers: Battle for the Grid,0,2019-04-02,2019,4,2
Hopalong: The Badlands,0,2017-04-03,2017,4,3
Hellmut - The Badass From Hell TM,0,2018-03-13,2018,3,13
Dusk Diver,0,2019-10-29,2019,10,29
20XX,0,2018-07-10,2018,7,10
"Walden, a game",0,2021-07-02,2021,7,2
The Raven Remastered,1,2018-03-13,2018,3,13
Concrete Genie,0,2019-10-09,2019,10,9
Midnight Deluxe,0,2018-10-24,2018,10,24
Darkest Dungeon,1,2018-10-11,2018,10,11
Nine Parchments,1,2018-03-07,2018,3,7
The Spectrum Retreat,0,2018-07-13,2018,7,13
MARS ODYSSEY,0,2019-12-10,2019,12,10
Omega Strike ,1,2018-06-15,2018,6,15
Stellaris: Console Edition,1,2019-02-26,2019,2,26
Stunt Kite Masters VR,0,2017-05-29,2017,5,29
The Jackbox Party Pack 4,0,2017-10-17,2017,10,17
TerraTech,1,2018-08-14,2018,8,14
Dead Cells: Prisoner's Edition,0,2018-08-07,2018,8,7
Twin Robots,0,2017-10-10,2017,10,10
Street Power Football,1,2020-08-25,2020,8,25
Umihara Kawase Fresh!,0,2020-05-15,2020,5,15
The Sims™ 4 Snowy Escape,1,2020-11-13,2020,11,13
Scribblenauts Unlimited,1,2012-11-13,2012,11,13
Super Destronaut DX,1,2018-07-27,2018,7,27
Lost Sphear,0,2017-10-12,2017,10,12
Serious Sam Collection,1,2020-11-17,2020,11,17
All-Star Fruit Racing,1,2018-08-21,2018,8,21
Madden NFL 21,1,2020-08-28,2020,8,28
Wulverblade,0,2018-01-31,2018,1,31
Space Pirate Trainer,0,2018-11-27,2018,11,27
Tales of Vesperia: Definitive Edition,1,2019-01-11,2019,1,11
NEW GUNDAM BREAKER,0,2018-06-21,2018,6,21
Battle Princess Madelyn,0,2019-01-07,2019,1,7
Sid Meier's Civilization VI,1,2019-11-22,2019,11,22
Ultrawings,0,2017-07-20,2017,7,20
Astérix & Obélix XXL 2,1,1993-01-01,1993,1,1
NEKOPARA Vol.1,0,2014-12-29,2014,12,29
Tricky Towers,0,2017-09-15,2017,9,15
ToeJam & Earl: Back in the Groove!,0,2019-03-01,2019,3,1
Boiling Bolt,0,2017-12-05,2017,12,5
Corpse Killer,0,1995-08-25,1995,8,25
Two Point Hospital,1,2020-02-25,2020,2,25
Tony Hawk's Pro Skater 1 and 2,1,2021-03-26,2021,3,26
Marvel's Guardians of the Galaxy: The Telltale Series - Don't Stop Believin',1,2017-11-07,2017,11,7
Catch & Release,0,2018-08-19,2018,8,19
Ghost 1.0,1,2019-07-19,2019,7,19
Chaos on Deponia,1,2017-12-06,2017,12,6
DreamWorks Dragons Dawn of New Riders,1,2019-02-15,2019,2,15
Rad Rodgers,1,2018-02-21,2018,2,21
GALAK-Z: The Void,0,2017-02-23,2017,2,23
Word Search by POWGI,0,2018-08-07,2018,8,7
The Sims™ 4 Laundry Day Stuff,1,2018-08-14,2018,8,14
The Elder Scrolls Online: Greymoor,1,2020-06-09,2020,6,9
Surviving Mars,1,2018-03-15,2018,3,15
School Girl/Zombie Hunter,0,2017-11-17,2017,11,17
STAR WARS™ Episode I Racer,0,2020-10-27,2020,10,27
NIER REPLICANT VER.1.22474487139…,1,2021-04-22,2021,4,22
The Station,1,2017-07-31,2017,7,31
Hidden Dragon Legend,0,2017-09-19,2017,9,19
Air Missions: Hind,0,2018-09-25,2018,9,25
Zombie Army 4: Dead War,1,2020-02-04,2020,2,4
Dead by Daylight: Nightmare Edition,1,2019-12-06,2019,12,6
Blood & Truth,0,1997-03-07,1997,3,7
Marooners,1,2018-02-06,2018,2,6
Hunting Simulator 2,1,2020-06-25,2020,6,25
Effie,0,2021-02-19,2021,2,19
Little Witch Academia: Chamber of Time,0,2018-05-15,2018,5,15
