title,console,date,year,month,day
MXGP PRO,1,2018-07-10,2018,7,10
DWVR,0,2016-12-15,2016,12,15
Jettomero: Hero of the Universe,1,2018-02-27,2018,2,27
The aquatic Adventure of the Last Human,1,2018-01-23,2018,1,23
Pure Farming 2018,1,2018-03-13,2018,3,13
Tetris Effect,0,2018-11-09,2018,11,9
Horizon Chase Turbo,0,2018-11-28,2018,11,28
TT Isle of Man,1,2020-03-19,2020,3,19
Mystik Belle ,0,2017-12-31,2017,12,31
Another Sight,0,2019-06-18,2019,6,18
Mega Man Zero/ZX Legacy Collection,1,2020-02-25,2020,2,25
Asdivine Kamura,0,2019-10-01,2019,10,1
Where the Water Tastes Like Wine,0,2019-11-29,2019,11,29
Let's Sing 2018,0,2017-10-20,2017,10,20
Railway Empire,1,2018-01-30,2018,1,30
ACA NEOGEO FOOTBALL FRENZY,1,2018-08-30,2018,8,30
Under Night In-Birth Exe:Late[cl-r],0,2020-02-21,2020,2,21
SUPER AMAZEBALLS,0,2017-05-16,2017,5,16
Rocketbirds: Hardboiled Chicken,0,2020-11-16,2020,11,16
DOOM Slayers Collection,1,2020-08-04,2020,8,4
Socketeer,1,2018-08-21,2018,8,21
My Little Riding Champion,1,2018-11-29,2018,11,29
Hellpoint,0,2020-07-30,2020,7,30
Demon's Tier+,0,2020-06-09,2020,6,9
Starbound,1,2016-07-21,2016,7,21
Creed: Rise to Glory,0,2018-09-25,2018,9,25
Deadbolt,0,2016-03-13,2016,3,13
Goosebumps Dead of Night,1,2020-06-29,2020,6,29
H1Z1: Battle Royale,0,2018-08-07,2018,8,7
Dollhouse,0,2019-05-24,2019,5,24
Jak X: Combat Racing,0,2017-12-06,2017,12,6
Jurassic World Evolution,1,2019-12-16,2019,12,16
F1 2020 Deluxe Schumacher Edition,1,2020-07-10,2020,7,10
Downwell,0,2016-05-24,2016,5,24
New Super Lucky's Tale,1,2020-08-21,2020,8,21
KINGDOM HEARTS Melody of Memory,0,2020-11-13,2020,11,13
Detective Gallo,0,2018-08-15,2018,8,15
Zengeon,0,2019-01-18,2019,1,18
Little Red Lie,0,2018-01-09,2018,1,9
Yoku's Island Express,1,2018-05-29,2018,5,29
State of Mind,1,2018-08-15,2018,8,15
Dakar 18,1,2018-09-28,2018,9,28
Dragon Fantasy: Volumes of Westeria,0,2019-05-21,2019,5,21
UnExplored,1,2018-09-30,2018,9,30
Infernium,0,2018-04-03,2018,4,3
Portal Of Evil,0,2021-03-05,2021,3,5
Atelier Ryza 2: Lost Legends & the Secret Fairy,0,2021-01-29,2021,1,29
Fossil Hunters,1,2018-06-28,2018,6,28
Arcade Archives THE NINJA WARRIORS,0,2017-09-07,2017,9,7
The Unknown City (Horror Begins Now.....Episode 1),0,2018-07-03,2018,7,3
Bus Simulator 21,1,2021-09-07,2021,9,7
Bus Simulator,1,2018-04-03,2018,4,3
Ni no Kuni II: REVENANT KINGDOM,0,2018-03-23,2018,3,23
Ninja Shodown,1,2017-10-06,2017,10,6
Void Bastards,1,2020-05-07,2020,5,7
Halloween Forever,0,2018-10-22,2018,10,22
Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,0,2020-08-07,2020,8,7
SNK HEROINES Tag Team Frenzy,0,2018-09-07,2018,9,7
Persona 5 Royal,0,2020-03-31,2020,3,31
Mutant Football League: Dynasty Edition,1,2018-10-30,2018,10,30
Knights of Pen and Paper +1 Deluxier Edition,0,2018-05-29,2018,5,29
Disintegration,1,2020-06-16,2020,6,16
Persona 5: Dancing in Starlight,0,2018-12-04,2018,12,4
Descenders,1,2019-05-07,2019,5,7
SENRAN KAGURA Peach Beach Splash,0,2017-09-26,2017,9,26
Neonwall,0,2018-09-13,2018,9,13
Bridge Constructor Portal ,1,2018-03-01,2018,3,1
The Awesome Adventures of Captain Spirit,0,2018-06-26,2018,6,26
Spirit Hunter: NG,0,2019-10-10,2019,10,10
2064: Read Only Memories,0,2017-01-17,2017,1,17
Those Who Remain,1,2020-05-15,2020,5,15
Fort Defense,0,2013-11-27,2013,11,27
ROBOTICS;NOTES DaSH,0,2020-10-16,2020,10,16
OVERKILL'S The Walking Dead,1,2018-11-06,2018,11,6
CarX Drift Racing Online,1,2017-07-07,2017,7,7
Trials of Mana,0,2020-04-24,2020,4,24
Heroine Anthem Zero Episode 1,0,2018-02-27,2018,2,27
Yakuza 3,0,2009-02-26,2009,2,26
Tin and Kuna ,1,2020-09-10,2020,9,10
Tesla vs Lovecraft,1,2018-03-14,2018,3,14
The Night Journey,0,2018-06-26,2018,6,26
MotoGP20,1,2014-06-20,2014,6,20
Need for Speed™ Payback,1,2017-11-10,2017,11,10
The Seven Deadly Sins  Knights of Britannia,0,2018-02-09,2018,2,9
Google Tilt Brush,0,2016-04-05,2016,4,5
Slide Stars,0,2020-11-10,2020,11,10
TOKI,1,1989-01-01,1989,1,1
MotoGP19,1,2019-06-27,2019,6,27
Pro Evolution Soccer 2019,1,2018-08-28,2018,8,28
Destiny Connect: Tick-Tock Travelers,0,2019-10-22,2019,10,22
The Walker,0,2012-02-16,2012,2,16
Mutant Year Zero: Road to Eden,1,2018-12-04,2018,12,4
The Sims™ 4 Bowling Night Stuff,1,2019-03-12,2019,3,12
Kill la Kill - IF,0,2019-07-26,2019,7,26
Apocalypse Rider,0,2018-08-23,2018,8,23
Deiland,0,2016-02-19,2016,2,19
Revolve,1,2017-10-10,2017,10,10
Capcom Beat 'em Up Bundle,1,2018-09-20,2018,9,20
UPPERS,0,2020-10-21,2020,10,21
Red Matter,0,2018-05-24,2018,5,24
Kingdom: New Lands,0,2016-08-09,2016,8,9
The Elder Scrolls Online: Elsweyr,1,2019-06-04,2019,6,4
Birdcakes,0,2018-05-29,2018,5,29
NBA Live 18: The ONE Edition,1,2017-09-15,2017,9,15
Strikers Edge,0,2018-01-30,2018,1,30
Perils of Baking,0,2018-08-16,2018,8,16
Labyrinth of Refrain: Coven of Dusk,0,2018-09-18,2018,9,18
Blaster Master Zero 2,0,2019-03-20,2019,3,20
ACE OF SEAFOOD,0,2017-11-14,2017,11,14
Ghost Parade,0,2020-10-14,2020,10,14
Arcade Archives OMEGA FIGHTER,0,2018-07-26,2018,7,26
ACA NEOGEO SPIN MASTER,1,2017-09-14,2017,9,14
Dark Legion,0,2018-06-15,2018,6,15
Dream Match Tennis VR,0,2018-07-10,2018,7,10
The Lost Child,0,2018-06-29,2018,6,29
Bunny Must Die! Chelsea and the 7devils.,0,2012-10-02,2012,10,2
Super Hydorah,1,2017-12-13,2017,12,13
Floor Kids,0,2018-11-27,2018,11,27
DayZ,1,2019-05-29,2019,5,29
Aragami: Shadow Edition,1,2018-06-05,2018,6,5
The Sims™ 4 Fitness Stuff,1,2019-03-12,2019,3,12
NHL 94 Rewind,1,2021-11-04,2021,11,4
Warhammer: Vermintide 2 - Deluxe Edition,1,2018-03-08,2018,3,8
Persona 3: Dancing in Moonlight,0,2018-12-04,2018,12,4
Slay the Spire ,1,2019-05-21,2019,5,21
Monster Slayers ,1,2018-05-18,2018,5,18
428: Shibuya Scramble,0,2018-09-21,2018,9,21
SPACE HULK,0,2013-08-15,2013,8,15
Unravel 2,1,2018-06-09,2018,6,9
Layers of Fear : Masterpiece Edition ,1,2016-08-02,2016,8,2
LocoRoco 2,0,2017-12-09,2017,12,9
State of Anarchy: Master of Mayhem,1,2018-08-01,2018,8,1
Yakuza 6: The Song of Life,0,2021-03-25,2021,3,25
Taxi Chaos,0,2021-02-23,2021,2,23
Shio,0,2017-05-04,2017,5,4
Metal Gear Survive,1,2018-02-22,2018,2,22
Neverending Nightmares,0,2016-05-03,2016,5,3
The Mummy Demastered,1,2017-10-24,2017,10,24
Frutakia 2,0,2017-09-21,2017,9,21
Ark Park,0,2018-03-22,2018,3,22
Blue Angels Aerobatic Flight Simulator,0,2017-11-28,2017,11,28
Return of the Obra Dinn,0,2019-10-18,2019,10,18
Bud Spencer & Terence Hill - Slaps And Beans,1,2018-07-24,2018,7,24
Casey Powell Lacrosse 18,1,2018-04-25,2018,4,25
MediEvil,0,1998-10-01,1998,10,1
THE INVISIBLE HOURS,0,2017-10-10,2017,10,10
The Evil Within 2,1,2017-10-13,2017,10,13
PixelJunk Monsters 2,0,2018-05-24,2018,5,24
Jak II,0,2012-02-29,2012,2,29
It's Quiz Time,1,2017-12-15,2017,12,15
Apex Legends - Bloodhound Edition,1,2019-12-03,2019,12,3
BRIKS 2,0,2018-01-05,2018,1,5
SAMURAI SHODOWN NEOGEO COLLECTION,0,2020-07-28,2020,7,28
Sayonara Wild Hearts,0,2020-02-25,2020,2,25
Aces of the Luftwaffe - Squadron,1,2018-07-24,2018,7,24
Monster Jam Steel Titans 2,1,2021-03-02,2021,3,2
COMMANDOS 2 & PRAETORIANS: HD REMASTER DOUBLE PACK,1,2020-01-23,2020,1,23
Cities: Skylines Parklife Edition,1,2018-05-24,2018,5,24
The Caligula Effect: Overdose,0,2019-03-22,2019,3,22
Ancestors Legacy,0,2019-08-13,2019,8,13
Super Mutant Alien Assault,0,2016-07-12,2016,7,12
ACA NEOGEO SAMURAI SHODOWN II,1,2017-09-21,2017,9,21
Claire: Extended Cut,0,2016-06-09,2016,6,9
ACA NEOGEO SAMURAI SHODOWN III,1,2018-02-01,2018,2,1
Okami HD,1,2012-11-01,2012,11,1
The Swords of Ditto,0,2018-04-24,2018,4,24
Timothy vs the Aliens,0,2021-12-03,2021,12,3
Arca's Path,0,2018-12-04,2018,12,4
AO Tennis 2,1,2020-02-11,2020,2,11
Fast Striker,0,2018-10-17,2018,10,17
Terminator: Resistance,1,2019-11-15,2019,11,15
Watch Dogs Legion ,1,2020-10-29,2020,10,29
Serial Cleaner,0,2017-07-14,2017,7,14
Dust: An Elysian Tail,0,2012-08-15,2012,8,15
Rogue Legacy,0,2015-05-27,2015,5,27
Nex Machina,0,2017-06-20,2017,6,20
War Theatre,0,2020-04-23,2020,4,23
eFootball PES 2021 Season Update,1,2020-09-15,2020,9,15
Battlefield V,1,2019-09-25,2019,9,25
Rangi,0,2017-08-03,2017,8,3
My Memory of Us,0,2018-10-10,2018,10,10
Story of a Gladiator,0,2019-11-27,2019,11,27
Mecho Wars: Desert Ashes,0,2020-05-08,2020,5,8
Plants vs. Zombies Battle for Neighborville,1,2019-10-18,2019,10,18
Narcosis,0,2018-07-24,2018,7,24
Fishing Planet,0,2017-08-29,2017,8,29
The Sinking City,1,2019-06-27,2019,6,27
We Happy Few,1,2018-08-09,2018,8,9
Blacksad: Under the Skin,1,2019-11-05,2019,11,5
Tamashii,0,2019-12-17,2019,12,17
Kingdoms of Amalur: Re-Reckoning,1,2020-09-08,2020,9,8
Kero Blaster,0,2017-04-11,2017,4,11
Spirit of the North,0,2019-11-13,2019,11,13
Dynasty Feud,0,2017-12-14,2017,12,14
Maneater,1,2020-05-22,2020,5,22
Zanki Zero: Last Beginning,0,2019-04-10,2019,4,10
Spacejacked,0,2020-06-12,2020,6,12
HAJWALA,0,2018-06-26,2018,6,26
Atelier Ryza: Ever Darkness & the Secret Hideout,0,2019-11-01,2019,11,1
VirtuGO,0,2017-09-08,2017,9,8
DATE A LIVE: RIO-REINCARNATION,0,2018-10-01,2018,10,1
WRC 7 FIA World Rally Championship,1,2017-09-13,2017,9,13
SteamWorld Dig 2,0,2018-11-21,2018,11,21
Illusion: A Tale of the Mind,0,2018-06-01,2018,6,1
Fortnite - The Last Laugh Bundle,1,2020-12-04,2020,12,4
Still Time,0,2017-08-29,2017,8,29
Monochrome Order,0,2019-11-05,2019,11,5
Hex Tunnel,0,2018-03-06,2018,3,6
Dynasty Warriors 9 Special Weapon Edition ,1,2018-02-08,2018,2,8
ACA NEOGEO GAROU: MARK OF THE WOLVES,1,2019-03-28,2019,3,28
The Sims™ 4 My First Pet Stuff Pack,1,2018-03-13,2018,3,13
Nightmare Boy,1,2017-10-25,2017,10,25
Fuser,1,2020-11-10,2020,11,10
The Wonderful 101: Remastered,0,2020-05-22,2020,5,22
Wreckfest,1,2019-08-27,2019,8,27
Extinction,1,2018-04-10,2018,4,10
Red Dead Online,1,2020-12-01,2020,12,1
Bladed Fury,1,2021-03-24,2021,3,24
Super Skull Smash GO! 2 Turbo,0,2018-07-17,2018,7,17
Surf World Series,1,2017-08-30,2017,8,30
Atelier Lydie and Suelle: The Alchemists and the Mysterious Paintings,0,2017-12-21,2017,12,21
Mahjong Carnival,0,2015-09-21,2015,9,21
Ancestors: The Humankind Odyssey,1,2019-12-06,2019,12,6
Mystik Belle,1,2017-12-31,2017,12,31
Contra Anniversary Collection,1,2019-06-11,2019,6,11
Project Highrise - Architect's Edition,1,2018-11-13,2018,11,13
INK,1,2015-08-05,2015,8,5
GAROU: MARK OF THE WOLVES™,0,2015-02-15,2015,2,15
The Witch and the Hundred Knight 2,0,2018-04-06,2018,4,6
SUPERHOT: MIND CONTROL DELETE,1,2020-07-16,2020,7,16
Guilt Battle Arena,0,2018-02-14,2018,2,14
WRC 9 FIA World Rally Championship,1,2020-09-04,2020,9,4
Gate Of Doom,0,2018-08-28,2018,8,28
BlazBlue: Cross Tag Battle,0,2018-06-22,2018,6,22
MXGP2019 - The Official Motocross Videogame,1,2016-04-07,2016,4,7
Detroit: Become Human,0,2018-05-25,2018,5,25
Growtopia ,0,2019-07-18,2019,7,18
Tharsis,0,2016-01-12,2016,1,12
Mahjong Gold,0,2018-03-14,2018,3,14
Destiny 2: Shadowkeep,1,2019-10-01,2019,10,1
Anodyne,1,2018-09-21,2018,9,21
Construction Simulator 2 Console Edition,1,2018-12-09,2018,12,9
Mad Rat Dead,0,2020-10-30,2020,10,30
The Survivalists,1,2020-10-09,2020,10,9
Just In Time Incorporated,0,2017-07-27,2017,7,27
Yaga,0,2019-11-12,2019,11,12
Caveman Warriors,1,2017-09-21,2017,9,21
NHL 18,1,2017-09-15,2017,9,15
Reel Fishing: Road Trip Adventure,0,2019-09-17,2019,9,17
ACA NEOGEO KARNOV'S REVENGE,1,2017-11-15,2017,11,15
Symmetry,0,2018-03-06,2018,3,6
One Piece World Seeker,1,2019-03-15,2019,3,15
Tanuki Justice,0,2021-06-30,2021,6,30
Animal Super Squad,1,2019-02-01,2019,2,1
RICK AND MORTY: VIRTUAL RICK-ALITY,0,2017-04-20,2017,4,20
Disgaea 1 Complete,0,2018-07-26,2018,7,26
Monster Energy Supercross - The Official Videogame 4,1,2021-03-08,2021,3,8
TERA,1,2018-04-03,2018,4,3
Risk of Rain 2,1,2019-08-30,2019,8,30
Neptunia Virtual Stars,0,2021-03-02,2021,3,2
ACA NEOGEO THE KING OF FIGHTERS '98,1,2017-01-11,2017,1,11
Remothered: Tormented Fathers,1,2018-07-25,2018,7,25
ACA NEOGEO STAKES WINNER,1,2018-05-02,2018,5,2
Konrad the Kitten,0,2018-02-23,2018,2,23
Speed Brawl,1,2018-09-18,2018,9,18
Maid of Sker,1,2020-07-28,2020,7,28
Tales from the Borderlands,1,2014-12-03,2014,12,3
Sekiro™: Shadows Die Twice,1,2019-03-22,2019,3,22
Grave Danger,0,2016-12-19,2016,12,19
Grim Fandango Remastered,0,2020-10-29,2020,10,29
Wasteland 3,1,2020-08-28,2020,8,28
Borderlands Game of the Year,1,2019-04-03,2019,4,3
OK K.O.! Let's Play Heroes,1,2018-01-23,2018,1,23
NBA 2K21,1,2020-09-04,2020,9,4
Fate/EXTELLA LINK,0,2019-03-22,2019,3,22
Los Sims™ 4 Star Wars™: Viaje a Batuu ,1,2020-09-08,2020,9,8
ToeJam and Earl: Back in the Groove,0,2019-03-01,2019,3,1
ACA NEOGEO SENGOKU 3,1,2018-03-29,2018,3,29
Anamorphine,0,2018-07-31,2018,7,31
Shape of the World,0,2018-06-05,2018,6,5
WWE 2K20,1,2019-10-22,2019,10,22
Astroneer,1,2019-11-15,2019,11,15
HEX: Card Clash,0,2016-01-26,2016,1,26
Mugsters,1,2018-07-17,2018,7,17
UFC 4,1,2020-08-14,2020,8,14
Samurai Shodown V Special ,0,2017-09-12,2017,9,12
Ys VIII: Lacrimosa of Dana,0,2017-09-15,2017,9,15
Aggelos,0,2019-07-12,2019,7,12
Wonder Boy: The Dragon's Trap,0,2017-04-18,2017,4,18
Atari Flashback Classics Volume 3,1,2018-12-13,2018,12,13
Gunducky Industries,0,2021-04-28,2021,4,28
Earth Defense Force 5,0,2018-12-11,2018,12,11
Family Feud,1,1991-05-01,1991,5,1
Dead Age,1,2018-09-07,2018,9,7
Borderlands 3,1,2019-09-13,2019,9,13
Metal Wolf Chaos XD,1,2019-08-06,2019,8,6
Five Nights at Freddy's: Core Collection,1,2021-01-12,2021,1,12
NBA LIVE 20,1,2005-09-26,2005,9,26
Way of Redemption,0,2017-11-07,2017,11,7
Trine 4: The Nightmare Prince,1,2019-10-08,2019,10,8
Pixel Gear,0,2016-10-20,2016,10,20
R.B.I. Baseball 19,1,2019-03-05,2019,3,5
Moving Out,1,2020-05-12,2020,5,12
Puyo Puyo Tetris 2,1,2020-12-08,2020,12,8
The Walking Dead: The Final Season,1,2018-08-14,2018,8,14
Titan Quest,1,2006-06-26,2006,6,26
Drive On Moscow,1,2018-05-04,2018,5,4
Asdivine Hearts II,0,2019-01-15,2019,1,15
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,1,2020-12-04,2020,12,4
Dandara,1,2018-02-06,2018,2,6
Punch Line ,0,2018-10-09,2018,10,9
Bleed 2,1,2018-02-09,2018,2,9
Yomawari: Midnight Shadows,0,2017-10-24,2017,10,24
Valfaris,0,2019-11-05,2019,11,5
Bugsnax,0,2020-11-12,2020,11,12
Nights of Azure 2: Bride of the New Moon,0,2017-10-24,2017,10,24
The Journey Down: Chapter Two,1,2014-08-25,2014,8,25
Journey Collector's Edition,0,2015-09-29,2015,9,29
The Sims™ 4 Jungle Adventure,1,2018-12-04,2018,12,4
FORGOTTON ANNE,1,2018-05-15,2018,5,15
Shovel Knight: Treasure Trove,1,2015-04-29,2015,4,29
My Friend Pedro ,0,2020-04-02,2020,4,2
NASCAR Heat 2,1,2017-09-12,2017,9,12
WILL: A Wonderful World,0,2017-06-06,2017,6,6
DOOM Eternal,1,2020-03-20,2020,3,20
ACA NEOGEO SOCCER BRAWL,1,2017-11-22,2017,11,22
One Piece: Grand Cruise,0,2018-05-21,2018,5,21
Professor  Rubik's Brain Fitness,1,2020-11-24,2020,11,24
Spectrum,1,2018-08-22,2018,8,22
Raw Data,0,2016-07-14,2016,7,14
INFERNO CLIMBER: REBORN,0,2019-03-28,2019,3,28
Tyr: Chains of Valhalla,0,2018-05-08,2018,5,8
Crisis on the Planet of the Apes,0,2018-04-02,2018,4,2
Timber Tennis Versus,0,2018-11-08,2018,11,8
YIIK: A Postmodern RPG,0,2019-01-17,2019,1,17
Megadimension Neptunia VIIR,0,2018-05-11,2018,5,11
Jumanji The Video Game,1,2019-11-08,2019,11,8
Splash Blast Panic,0,2019-10-24,2019,10,24
Apex Legends,1,2019-02-04,2019,2,4
Laws of Machine,0,2018-01-25,2018,1,25
Psyvariar Delta,1,2019-07-02,2019,7,2
Everspace: Stellar Edition,1,2017-05-25,2017,5,25
Gnomes Garden 2,1,2018-11-14,2018,11,14
Chariot,0,2014-09-30,2014,9,30
Sea of Memories,0,2018-06-01,2018,6,1
Los Sims™ 4,1,2014-09-02,2014,9,2
FIFA 21,1,2020-10-06,2020,10,6
Hitman: Definitive Edition,1,2016-02-23,2016,2,23
3D Billiards,0,2017-12-19,2017,12,19
The Exorcist: Legion VR,0,2018-06-19,2018,6,19
Moss,0,2018-02-27,2018,2,27
RIOT - Civil Unrest,0,2019-02-06,2019,2,6
Wraith,0,2017-10-15,2017,10,15
Spelunky,0,2012-07-04,2012,7,4
Get Over Here,0,2018-09-11,2018,9,11
Guns of Icarus Alliance,0,2018-05-01,2018,5,1
Don't Bite Me Bro!,0,2018-03-20,2018,3,20
Glass Masquerade,0,2019-02-08,2019,2,8
GUNGRAVE VR,0,2018-12-11,2018,12,11
Call of Duty®: Modern Warfare®,1,2007-11-05,2007,11,5
EA SPORTS™ FIFA 21 NXT LEVEL EDITION,1,2020-10-06,2020,10,6
The Sims™ 4 Movie Hangout Stuff,1,2019-02-19,2019,2,19
The Occupation,1,2019-03-05,2019,3,5
Sundered: Eldritch Edition,0,2018-12-21,2018,12,21
Resident Evil 2,1,2019-01-25,2019,1,25
Impact Winter,1,2018-04-05,2018,4,5
Gnomes Garden 3: The thief of castles,1,2018-07-25,2018,7,25
RPG Maker MV,1,2020-09-11,2020,9,11
Trials Rising,1,2019-02-26,2019,2,26
Crash Bandicoot™ 4: It's About Time,1,2020-10-02,2020,10,2
Factotum 90,0,2017-10-03,2017,10,3
Pankapu,1,2017-09-20,2017,9,20
Neverwinter Nights Enhanced Edition,1,2019-12-03,2019,12,3
Outward,1,2019-03-26,2019,3,26
Laser League,1,2018-05-10,2018,5,10
Ghost of Tsushima,0,2020-07-17,2020,7,17
Grim Legends 3: The Dark City,1,2018-05-10,2018,5,10
HackyZack,0,2019-02-13,2019,2,13
VROOM KABOOM,0,2018-08-14,2018,8,14
Dark Quest 2,0,2019-04-17,2019,4,17
Celeste,1,2018-01-26,2018,1,26
The Walking Dead Onslaught,0,2020-09-29,2020,9,29
Gene Rain,1,2018-07-17,2018,7,17
PixelJunk VR™ Dead Hungry,0,2017-10-25,2017,10,25
Streets of Red : Devil's Dare Deluxe,0,2019-02-21,2019,2,21
The Sims™ 4 Spooky Stuff,1,2018-10-02,2018,10,2
Switchblade,0,1989-11-30,1989,11,30
Cloudpunk,1,2020-10-15,2020,10,15
FIFA 19,1,2018-09-28,2018,9,28
Disaster Report 4: Summer Memories,0,2020-04-21,2020,4,21
Way of the Passive Fist,1,2018-03-06,2018,3,6
Alchemist's Castle,0,2018-03-27,2018,3,27
BATTLE GAREGGA REV.2016,1,2016-12-12,2016,12,12
Wild Turkey Hunter,0,2018-01-24,2018,1,24
FIFA 20,1,2019-09-27,2019,9,27
Mega Man 11,1,2018-10-02,2018,10,2
Fill-a-Pix: Phil's Epic Adventure,0,2018-07-24,2018,7,24
Mortal Kombat 11,1,2019-04-23,2019,4,23
RAID: WORLD WAR II,1,2017-10-13,2017,10,13
Heavy Fire: Red Shadow,0,2018-10-16,2018,10,16
Destiny,1,2014-09-09,2014,9,9
Electronauts,0,2018-08-07,2018,8,7
GOD EATER 3,0,2019-02-08,2019,2,8
Torchlight II,1,2019-09-03,2019,9,3
Hotline Miami,0,2014-08-20,2014,8,20
Arcade Islands: Volume One,0,2018-09-07,2018,9,7
Mutazione,0,2021-05-26,2021,5,26
Catastronauts,1,2018-09-28,2018,9,28
Nightmares from the Deep 3: Davy Jones,1,2018-02-02,2018,2,2
Black Desert,1,2018-01-07,2018,1,7
No Man's Sky,0,2018-07-24,2018,7,24
IRON CRYPTICLE,0,2017-07-12,2017,7,12
Harvest Moon: Mad Dash,0,2020-08-21,2020,8,21
Chronos: Before the Ashes,1,2020-12-01,2020,12,1
"Penn & Teller VR: F U, U, U, & U",0,2018-05-17,2018,5,17
Time Carnage,1,2017-05-15,2017,5,15
Planet Coaster Console Edition,1,2020-11-24,2020,11,24
Age of Wonders: Planetfall,1,2019-08-06,2019,8,6
Spacebase Startopia,1,2021-03-26,2021,3,26
Dragon Sinker: Descendants of Legend,0,2020-01-08,2020,1,8
Garfield Kart: Furious Racing,1,2019-11-07,2019,11,7
Assassin's Creed III Remastered ,1,2019-03-29,2019,3,29
The Grand Tour Game,1,2019-01-15,2019,1,15
Fishing Sim World,1,2018-08-16,2018,8,16
Downward Spiral: Horus Station,0,2018-12-31,2018,12,31
League of War: VR Arena,0,2017-11-07,2017,11,7
NBA 2K Playgrounds 2,1,2018-10-16,2018,10,16
Super Kids Racing,0,2018-02-16,2018,2,16
Gorogoa,0,2018-05-22,2018,5,22
Raining Coins,0,2014-11-22,2014,11,22
Aquanox Deep Descent,1,2020-10-15,2020,10,15
DISSIDIA FINAL FANTASY NT Standard Edition,0,2018-01-30,2018,1,30
8-Bit Invaders!,0,2019-02-26,2019,2,26
Albert & Otto,1,2018-01-10,2018,1,10
Ys IX: Monstrum Nox,0,2021-02-12,2021,2,12
WRC 8 FIA World Rally Championship,1,2019-09-10,2019,9,10
Predator: Hunting Grounds,0,2020-04-24,2020,4,24
Los Sims™ 4 Dias de Universidad,1,2014-09-02,2014,9,2
StarDrone,0,2018-01-17,2018,1,17
FOX N FORESTS,1,2018-05-30,2018,5,30
Katamari Damacy REROLL,1,2020-11-20,2020,11,20
One Step From Eden,0,2021-11-11,2021,11,11
Freedom Planet,0,2017-03-21,2017,3,21
Fe,1,2018-02-16,2018,2,16
Mercenary Kings,0,2014-04-02,2014,4,2
STAR OCEAN - THE LAST HOPE - International 4k & Full HD Remaster,0,2017-11-28,2017,11,28
SYREN,0,2017-02-16,2017,2,16
Schacht,0,2017-02-27,2017,2,27
Bubble Bobble 4 Friends: The Baron is Back!,0,2020-11-17,2020,11,17
The Banner Saga,1,2018-07-26,2018,7,26
Axis Football 2018,1,2019-04-11,2019,4,11
Dragon Quest Builders 2,0,2021-05-04,2021,5,4
Octahedron,1,2018-03-20,2018,3,20
Car Mechanic Simulator,1,2019-06-25,2019,6,25
Pinstripe,1,2018-02-14,2018,2,14
ZONE OF THE ENDERS: THE 2nd RUNNER - M?RS ,0,2018-09-06,2018,9,6
Away: Journey to the Unexpected,1,2019-02-08,2019,2,8
Conception PLUS: Maidens of the Twelve Stars,0,2019-11-08,2019,11,8
Clustertruck,1,2016-09-30,2016,9,30
Disco Dodgeball Remix,1,2018-05-22,2018,5,22
Minecraft Dungeons,1,2020-05-26,2020,5,26
Cosmic Star Heroine,0,2017-04-18,2017,4,18
The Last Remnant Remastered,0,2018-12-06,2018,12,6
ICEY,0,2017-08-08,2017,8,8
SNK 40th Anniversary Collection,0,2019-05-03,2019,5,3
Omega Labyrinth Z,0,2017-07-06,2017,7,6
GRIP,1,2018-11-06,2018,11,6
Burnout Paradise Remastered,1,2018-03-16,2018,3,16
Die for Valhalla!,0,2018-05-30,2018,5,30
SWORD ART ONLINE Alicization Lycoris,1,2020-08-14,2020,8,14
forma.8,0,2017-02-23,2017,2,23
Stifled,0,2017-10-31,2017,10,31
Just Dance 2018,1,2017-10-26,2017,10,26
Project CARS 3,1,2020-08-28,2020,8,28
ACE COMBAT™ 7: SKIES UNKNOWN,1,2019-01-18,2019,1,18
Circuits,1,2014-04-17,2014,4,17
Shakedown: Hawaii,0,2020-08-20,2020,8,20
Magic Knight Grand Charion,0,2018-05-15,2018,5,15
Oure,0,2017-10-30,2017,10,30
Fallen Legion: Sins of an Empire,0,2017-07-18,2017,7,18
